Data;staus
Laurie and I have been friends for over forty years, having met while we were both sophomores in high school.  We have lived in the same city most of the time, but at various points in time we've lived thousands of miles apart.  That has never mattered.  Even if it has been a year since we've spoken, or if we've been five thousand miles apart, at the next phone call it's like we just saw each other last week.  Our connection has always been that strong.;Positive
My buddy Dan and I have been friends for 25 years. One of the reasons we have remained friends for so long is that we respect each other's space. Dan doesn't push me to do things I don't want to do, and I treat him the same way. It also helps that Dan and I are roughly the same age, and share a similar outlook on life. In addition, neither of us worries small things to death. When we go out, sometimes he pays, sometimes I pay, and who pays for what and who paid last time does not bother us in the least.;Positive
She is extremely giving, supportive, and caring. I know I can always count on her to be honest with me and to be there when I need her. She can be a bit talkative, but she knows this about herself and doesn't get offended if I do something else while she's talking -- we both know she needs to process things verbally and that doesn't always mean I need to be listening. She is a lot of fun, extremely intelligent, and always has a fun story to share. It's been a long time since I've had another female who I enjoy spending time with, but she changed that! ;Positive
My best friend I have known since high school. We share the same tastes in music and movies and 1980's nostalgia. He is a great guy and would always lend a friend the shirt off his back. I have never seen him be petty or mean.;Positive
My best friend and I are very opposite but very the same.  We are easy going and relaxed.  We don't argue and she is very understanding.  She is always on my side even if I am wrong because she is a true friend.;Positive
She and I have remained friends for more than 20 years because we have experienced similar events in our lives and can really relate to each other.  We do not judge one another and we can always find something funny in a bad situation to cheer the other up.  It's a friendship that is ongoing, but not necessarily an everyday thing.  Months can go by without talking to one another (we both have infants) but we seem to be able to catch up in minutes on the phone.  She has strong and intelligent characteristics as do I, which means we always have something good to talk about.;Positive
My best friend is someone I can discuss anything with.  There is never a judgment made by either of us but we do suggest better solution if we have a problem.  Recently he went through a very difficult time with his daughter and when he shared it with me I was able to provide help for her and it helped him deal with the situation.  The reason we became good friends is we both place small values on things but place high value on relationships.;Positive
My best friend is amazing. We talk a lot during the course of the day.. Not only are we both married and both have children we also hang out together. She never tells me what I want to hear but instead keeps it real in a polite way. And if I need her she is always there for me and vice a verse.;Positive
I am best friends with Erin because we have a lot in common. We greatly enjoy the experience of growing and preparing our own food from seed, and we often swap seedlings and recipes. We both like to read and have toyed with the idea of starting a book club. Unfortunately, I don't get to see her as much as I would like since I moved out to the 'burbs. But we make efforts to get together and keep in touch via e-mail. She is very loyal, compassionate, intelligent, and understanding. ;Positive
She's always there when i need to talk, always a shoulder to cry on when i need a friend. We can have some really GOOD TIMES AS WELL, WE'RE ON THE SAME WAVELENGTH, SO WE CAN KNOW WE WILL HAVE A GOOD TIME WHEN WE GO OUT TOGETHER. She's just fun to be with;Positive
I've known my best friend for almost 4 years. She gives great advice, and is constantly helping me work through problems that I'd go crazy trying to deal with on my own. She's always there, even when I text her in the middle of the night because I can't sleep. She has a great laugh, too, and tells the most awesome stories - ones that leave us both gasping for air and holding our aching sides, unable to stop laughing.;Positive
We have an incredible friendship. He tells me when I am being stupid, but he is also very supportive. We're always there for each other. I can trust him with my life. I know he will always be around for me. ;Positive
First, were good friends because we are related by blood.  We also have a passion for all things electronic.  We both are interested in many of the same things, but that being said we also have enough interest in other things that we learn new stuff from each other.  We're both around the same age and grew up together.  We share many things with each other that we wouldn't with anyone else.;Positive
John makes me laugh every time we talk, and even though he's recently moved to London, we still email daily, so I'm always reading things off my iphone email and laughing as I walk down the street  just because John has a twisted sense of humor. Luckily I have the same twisted sensibilities. We are both shopaholics, addicted to antiquing and flea markets and clothes shopping so the boy and I can really do some damage if let loose with our amex cards. Sometimes you need someone else who talks Prada. I think he nd I are friends because we are both givers, not takers and people sometimes take advantage of us, and we both recognize that quality in each other. John wouldn't say no to anyone about anything, and it sometimes frustrates me, because he's such a great guy and I don't think he's altogether happy with the way life is going, but he doesn't want to rock the boat and hurt anyone else by standing up for himself. He is the loyalist person I know with a heart as big as the whole world and then some. I am lucky to have him as a friend. I can be real with him and tell him when I'm scared of life and when I'm having big doubts. He is the only person I trust to tell me the truth (other than my husband -- and then sometimes even tell me the truth about my husband!) I love JOhn and wish he would move back home soon.;Positive
i have a friend i have known over 20 years.  she is a very intelligent, caring person who works in the mental health field.  she has very astute insights about psychology.  she is close to my age so we have a lot of common points of references.  she was raised a catholic  and is still practicing.  i was too but not practicing but we still share a common background.  ;Positive
"Will and I met in a library. We discovered we liked the same books and movies. As children, we both loved the tv show """"Batman"""". That was 20-some years ago and we still enjoy going to the movies and concerts together. We share the same visions about so many things and we cried together when Barack Obama was elected president. """"";Positive
She is the kind of person who is good at most things I don\u2019t, and I like to think that she relies on me the way I rely on her. She can stand my erratic temper, and she doesn\u2019t mind even if I\u2019m not a person who can easily say sorry. She introduced me to a lot of fun new things I didn\u2019t even dare to think about before, and she\u2019s very open-minded about my wild suggestions too. We know each other enough not to doubt our honesty, thus I feel safe to share my secrets with her.;Positive
We have been friends since our high school days, that was 14 years ago. So we are 25 years and we are still best friends. I say best friends are one's that truely knows you inside out. One that cries with you when you are so lonely and laughs with you when you are so happy. A friend for me is one that is just there, ready to listen and not to judge you. A friend is one you can trust with your life and that is my bestfriend. I definitely trust her.;Positive
I had very good friend when i was studying my 10th standard.She is very affectionate towards me.such a caring, loving  and understanding.But i was not able to understand her true in very begning. Thing whichm are revelant to me and my friend is we both are possessive on eachother,but we could not realise until the other person came  and parted us.Because of over possessiveness our friendship sailed in very difficult situtation.;Positive
My best friend is Craig.  We have been friends since we were born, basically, since our parents new each other.  We are such good friends because we have so much shared life experience.  We went to summer camp together and went to the same church.  We have a lot of common opinions, but we also disagree about things.  What keeps us together is mutual respect for each other even if we disagree.;Positive
Jay is my best friend and has been for almost 10 years.  We of course fight on ocassion, we are like the odd couple.  We are always pondering how we ended up such good friends as we are so completely different.  He likes sports and technology and I love music and literature.  I would go to an art museum in a heart beat while he wouldn't be dragged there by his hair.  He much prefers golfing and I think it has to be the most boring sport in the world.  He hasn't read a book since highschool and I read one a week.  He is all about the action movies with blood, gore, and blowing things up.  I love comedies with Jim Carey.  The funny part is, no matter what we are doing, we always have fun together.  Even if he is watching wrestling and I am reading, we just click for some reason.  I think our saving grace is our sense of humor and the fact that we are both so open minded.;Positive
My best friend is also my boyfriend who I've been with for about two years now. We became close soon after we first met and have been that way ever since. I could not think of any other person I would rather be best friends with. He is the type of person that will put you ahead of himself, he's honest and anall around fun person to be around.;Positive
I am a girl and my best friend is a boy. We met at school, and, as my computer was demaged, i asked him to help me. From then, we talked on the internet a lot, hours, until morning, about everything. He told me personal things, about his parents, his family in general, his relationship, and also about him.There were things no one knew about. We were honest one to each other, we shared opinions and advices. We have a strong relation, but there is not evena single person who knows about it, because there will be strange rumors about us. They couldn't understand thet we have a strong friendship, and nothing else.;Positive
There is one friend of mine who is very dear to me. The best thing about him is listens to my talk very carefully and respond too in a very intelligent way. In others words he is a very good listener. He never wants me to go wrong in any case. He used to tell me that always take care of your parents . They are like GOD to us. He is the one who always comes on my birthday first!He really cares for me and my family.;Positive
We are best friends because she is always there for me. She listens to me when I'm down and crying. We go shopping together and she helps me pick out outfits. We have alot in common and have alot of fun together.;Positive
My best friend is the most amazing person in the world. She is very sincere and always supports me in all that I do. She offers me advice when I need it most and often helps me to see things when I am being irrational. Our relationship has grown so much that I feel like she is my sister.;Positive
We have been best friends for about 15 years. My biggest issue with him is his lack of commitment to relationships and completing college (at night). I find that he is dedicated to work not too much, but more than the other things in his life. I think he would make a great father if he would put an effort into his relationships. He could also do much better in his carreer if he would complete college, but one or two classes a year will not get it done. ;Positive
My best friend is always there when I need her.  When Im sad she gives me comfort and when Im happy she shares in my joy.  She is a constant companion that is loyal and loves me for who I am.  She never judges me and can read my emotions and feelings.  When we are apart I miss her and think of her and just the thought of her makes me smile.  I love my best friend and its a shame that more people cant find a friendship or love like this one.  ;Positive
My best friend knows me better than I know myself. Wshen we argue it never lasts more than a day and he is always there to listen. He will make me happy when I'm down and laugh when I want to cry. He will take the kids out for a few hours when I feel as i I was going to explode, and bring them back just as I start to miss them.;Positive
"The friendship I have with my best friend is wonderful. She is a great person and a wonderful friend. She is there for me when I need her, she makes me laugh when I am sad, and she picks me up when I am down. She lives 200 miles away so we dont get to see each other very often but we talk all the time. When we do get to visit each other, things havent changed one bit. We are still the best of friends. I think it helps because while we have alot in common, we have very different views on things like life and politics. The adage """"opposites attract"""" is very true about our friendship. """"";Positive
My best friend has earned her title, I can literally tell her anything in confidence and know that I can trust her enough not to tell a single soul.  We grew up together, been best friends now for about 12 years.  She always knows exactly how I feel, even if I don't tell her.  She makes me laugh more than any other person I know, and some of my most precious childhood memories I share with her.  She has never been afraid to tell me exactly what she thinks about my life, never afraid to tell me where I went wrong.  She has proven herself day in and day out to be loyal, trustworthy, consistent, fun, caring, I could go on and on all day about her.  Our personalities are entirely different, but so much alike at the same time, we do butt heads at times because of this, but it's so hard to stay mad at her.  ;Positive
"Glenn and I have been best friends since about 5 seconds since we first met.  I knew instantly that Glenn was gay, well everybody knew that Glenn was gay, except Glenn.  We suffered thru college together, got drunk together, gabbed constantly together, shared all the same likes and dislikes that are too numerous to list.  Best friends.  Then after college he all of the sudden gave me the, """"I need some space"""" speech.  I thought it would just last a few days, but it turned into weeks, months and then years.  I tried to reach out to him, but I was always rejected.  Then 8 years had gone by and I get a Christmas card from him.   I knew instantly from his handwriting who it was.  Then I noticed the gay flag sticker on the envelope.  I opened up the card which Glenn had poured his heart out into telling me that he was gay.  I called him at his new phone number, he of course knew it was me calling having calculated the amount of time it would take for the post office to deliver the card.  I said, """"Got your Christmas card...DUH!""""  We laughed and cried and quickly caught up on each others lives.  I love the knucklehead, he makes me smile just thinking about him and I know I can always count on him.  He will be my maid of honor at my wedding, and I was his best """"man"""" at his wedding.""""";Positive
My best friend Laura can be best described as my reflecting pool  We call each other once a week and share everything that's been going on in our lives for the last seven days.  But the best part about Laura is that she knows me so well, she can offer advice that's genuine.  We both provide each other with positive tools to reflect.;Positive
"My best friend and I can """"hang out"""" anywhere, any time and have fun. We have a sort of connection that's hard to describe. Much of it probably has to do with shared interests. We both really enjoy working with technology and creating things. We now live very far apart, but I'd like to think our friendship is still every bit as close.""""";Positive
We are such good friends because we are total opposites.  She is like night and I am like day.  We both make each other laugh and we always have a good time despite how different we are.  Our one commanlity is that we both are mothers of 2 year old boys, we have both learned to be mothers together.;Positive
My best friend is wonderful because she is always there for me when I need a shoulder to cry on.  She lets me borrow her clothes when I have nothing appropriate to wear. She Lets me know when I have something in my teeth, or I look unacceptable to go out in public.  I know she will answer the phone in the middle of the night If I needed her and will always find a way to make me laugh.  We finish eachothers sentences and can communicate in a crowded room without saying a word.;Positive
My best friend is someone I can share anything with without fear of being judged.  She always stands up for me no matter what;Positive
My best friend is a woman that I became friends with when we were both college students. We have maintained our friendship despite the fact that we have not lived in the same state for more than twenty years. We both have the same type of sarcastic humor and still crack each other up. I trust that she would never betray a confidence and she always gives me a straight answer, even when it is difficult to do so. We keep in touch by phone and e-mail, as well as several visits during the year. I value her friendship and love tremendously.;Positive
I have known my best friend since 3rd grade. We have been apart for lengthy times and once we lived near each other again, we picked up where we left off. I feel as if I know her and she knows me. I trust her and I ask for her advice. We respect each other's lives, like each others husband and children and don't get offended if the other is too busy for the other.  She is sincere and doesn't ever make me feel bad.  I could call her in the middle of the night and she would be there. My family loves her and knows her. We can giggle like school girls and cry like the grown women we are together.  We listen to one another. ;Positive
"I have known my best friend for nearly eleven years, and although we are living in different states we are still very close.  I know that I could tell her anything, and if I had a problem she would drop everything to help me.  I know her family very well, and she knows mine.  We joke around that we have a """"curse"""" because every time we are together one of us gets hurt, or we break something.  We are both silly, and can be immature when we hang out together, but it is because of this that we enjoy each others company so much.""""";Positive
I met Anna at university, when she asked to borrow my lecture notes. I thought she seemed really disorganised, but I lent her the notes and we just became friends from there. She's really important to me, now. I went to her wedding, and now she is widowed with a young son. She's been through such a lot, but she has huge inner strength and I really admire her. She's clever, fun, trustworthy, loyal and always surprising. I hope we will always be friends, even though we don't see each other very often these days.;Positive
My best friend and I have similar opinions on a lot of important topics (religion/politics etc) and even if we don't agree on something we respect each other enough to be able to have a mature interesting discussion about our beliefs. We also make each other laugh all the time, we love watching movies together and cracking jokes about them, I feel that this ability is what bonds us. We are comfortable telling each other anything and always want the others honest opinion concerning any problems we are having in our lives. We know the other person cares so we can be brutally honest with each other and this also leads to our forming a stronger bond. I know my best friend would do anything for me and I would do anything for her.;Positive
I am a guy and I have a girl as my best friend. We both share a very healthy relationship. She is my best friend because she just understands me better than anyone else I have ever met. She can tell herself without my need to say that what I want to say. Time seems running to me in her company. I can chat with her whole day and she also does this for me. She never hides anything from me. She always does those things which please me and even if I get upset with her she tries her level best so that our friendship continues as such. She really is best person for me in my life.;Positive
I've known my best friend for 38 years. We grew up together as neighbors. From the age of nine, we played together and hung out constantly. Now that we're older, there have been long periods of time when we haven't seen each other. It doesn't matter: She's just as sweet and loyal as ever. We'll always be best friends.;Positive
"My best friend accepts me as I am.  She listens to me even when she does not agree with what I say.  She """"knows"""" when I have a need for her to talk to me.  For example: I will feel down and she calls me before I call her.  She says she senced my mood and that I needed her.  I get the same feelings.  One great thing is that we don't have to talk to each other or see each other each day but when we talk and meet we create special moments to remember.""""";Positive
My best friend is a person that I can tell anything that is going on in my life good or bad. If I am having problems she supports and offers her opinion without being pushy. We laugh, we cry, we share all of our good and bad times. She has never hurt my feelings and supports me in anything that I do. I let my car run out of gas one time and she drove 60 miles because I was standing on the side of the road in a dress and heels just to bring me a gallon of gas and then she took me to lunch because she knew at that point I was having a bad day. I wouldn't trade my best friend for a million dollars even in these hard economic time. I love her more than a sister.;Positive
My best friend is a person of the opposite sex.I think one of the reasons we get along so well is that there is no competition against us,like who dresses the best,is prettiest,etc.We can cut through all of that nonsense and just be real. We are the same age,and have shared many life experiences that are the same.He is trustworthy.I can tell him anything.We both know that we can trust and believe in one another and that is what keeps our friendship going.;Positive
my best friend NEVER lies to me, at the same time they phrase their response to something I might do, that they don't agree with in a way that's not hurtful. My best friend has always been there for me no matter what hour of the day or night. They know all about me, but like me anyway.;Positive
My best friend is my sister, we are close in age so we were friends from high school on.  As adults though she has truely became my best friend.  She is always there to listen or help when needed.  She let me live with her for a month when I was moving accross country, and pet sits for me when I need to go out of town.  What keeps us together (aside from being related and thus hanging out even at family functions) is our abiltiy to forgive and understand each other.;Positive
My best friend and I have been friends for around 19 years, my longest friendship.  We met each other in Junior High School, thus have been through a great deal together.  She's kind and honest and has an extremely big heart.  She and I have continued to grow closer with age, rather than growing distant as many friendships do.;Positive
Jean is my best friend.  I have known her for over 20 years.  She is the most honest person I have ever known.  That is why we are still friends.  She is the only friend I have ever loved.  I believe she feels the same way about me.  I can always depend on her, she has never let me down.  She is also the most intelligent person in my life. I would be very unhappy with out her friendship.;Positive
My friend is sincere, trustworthy, and always honest.  She is beautiful inside and out.  She's reliable, hard-working, and always seeks to make others comfortable.  She has an amusing sense of humor.;Positive
I love my best friend. He is a very awesome person. There are many reasons why he is my best friend. I feel that i can truly trust him is the number one reason. How can you have a friend that you can't trust? When I am down he is there by my side making me feel better. Having a best friend is important. I know that I can be me and say whatever i want and not be judged. He knows who I am, and I love that about him.  Also I can always count on his honest opinion. That in my opinion is what keeps a friendship strong.;Positive
My best friend is a very sweet person. She is very caring and trustworthy. You could tell her any secret and it would always be safe. She is also very fun and funny.;Positive
"I've been friends with Jason since 10th grade.  When we first met it was for a game of """"War Games"""", where we would go into the woods and throw eggs, firecrackers, and bags of floor at each other.  Our group of friends has gone camping several times since then, sometimes for a week straight.  Jason and I share alot of interests and have found our views on life are very much in common.""""";Positive
My friend L. is very giving and helpful.  She is generous whenever someone is in need of help and even when they're doing fine.  She also takes good care of her pet.  She is reliable and a good employee too.  ;Positive
I have known my best friend my entire life.  We are actually cousins.  She and I started and finished school together.  My friend is kind, fun, loving and a good person.  We do not see each other as much as we would like because of distance, but when we do it is like we were never apart.  I trust her completly.  She is hard working and honest.  I respect her very much.;Positive
She's so much fun to talk to -- with other people, there's generally a sort of awkward silence that arises whenever we run out of things to say, but with her, we just keep talking. She cares about the same things that I care about, and for mostly the same reasons -- and when we disagree on something, we usually have really fun arguments about it. Not angry, just fun. She's into history and old things, can't stand arrogance, and seriously lacking in self-confident.;Positive
Stacy and I have been friends since high school. She is an extremely compassionate and ethical person and a defender of anyone weaker or less fortunate. She is generous with her family and friends as well as with strangers. She has an infectious laugh and a winning personality that everyone responds positively to. Children and dogs both love her, which is, in my opinion, one of the best signs of a truly kind person.;Positive
I love my best friend! He is also my husband. He is very supportive, funny, and sincere. He is always telling me that I'm a great wife and mother, and our personality's just work really well together. He's a lot like me in some ways, for instance he's very easy going, and likes to have fun. He's also me opposite in other ways like his spending habits. He's a spender, while I'm a saver. He's very detailed which makes him slow at getting things done, while I'm very fast and not as detailed. Together we make the perfect team.;Positive
My best friend is a very caring person who always puts her family before all things. I can always depend on my best friend in times of need. She seems to always know when I need a good laugh or pick me  up. My best friend is caring, loving and kind. ;Positive
My best friend and I have a lot in common.  We share favorite TV shows, music, movies, books, etc.  Besides that, the best thing about our friendship is that we are very honest with each other.  This makes it easy and comfortable to tell each other anything.  We are also very dependable to each other, and we respect each other very much.  ;Positive
I have been very good friends with my best friend for almost 10 years now. Since our childhood we've shared the same interest. We hangout together. Share each and every dirty secret with each other and then there are those times when one of us is feeling low and the other one comforts and tries to give u some good piece of advice. Personally I dont know where i would be without my best friend because there are some things which u can only share with your best friends.;Positive
If ever I have had a better friend who loves me and accepts the person I am despite the vast differences in culture, I sure can't think of one better than Jeanne.  Right from the beggining, she has shown nothing but love and understanding.  She never says I am wrong, only offers different ways of seeing any situation.  She is the most talented, non-judgemental person I have ever met.;Positive
Kristy is the kind of friend everyone needs in their life.  Her heart is pure gold and her compassion is second to none.  The security of knowing if I ever needed her, no matter the time, place, or situation, she would be there without hesitation is something that is a treasure.  In my worst moments in life she was there and just knowing that seemed to make things look a bit brighter.  In short, I use her example as how I want my own life to be.;Positive
I met my best friend through my job. We worked together for a couple of years when we realized we shared a sense of humor;Positive
This girl is sweet but doesn't want you to know it! She has a huge smile, I wish she would use it more. We hang out and have fun together. My life is better for having known her.;Negative
Jessi and I are the greatest friends. We like to go out to parties together and meet new people. We like to go shopping together for bargain deals. She bought me a wooden pear sculpture as a surprise for my art gallery. We enjoy spending time hanging out.;Negative
My best friend is a spastic mess sometimes but her heart is always in the right place.  She loves to travel and is always willing to share tips on the best places to go.  She welcomes friends into her home at any time and does her best to make you feel comfortable.  She enjoys food and can usually be trusted when it comes to restaurant recommendations.;Negative
I work with one of my best friends. She is so easy to work with that we've gotten along since the beginning. We compliment each other when we work together. She helps me and I help her. Our shared strong work ethic shines through as we strive to get things done. She is not only a great coworker, but a great friend who I know I can trust with even my most private secrets. ;Negative
Jr. and I have been friends through thick and thin. He is such a caring and considerate person. As my best friend, he always puts my needs before his own. He is never selfish when it comes to me. He calls me everyday just to make sure I'm ok. One day, he could not get in touch with me so he called my mom because he was worried about me. Jr. is the best friend I could ever ask for because of his selflessness.;Negative
She is fun and likes to have a good time.  She is social and outgoing.  She is a good person.  She cares about others.;Negative
He's a really nice person. He is always willing to tell me exactly what he feels, and he encourages me to do the same thing. We can understand each other really well. It's hard to imagine what my life would be like if I didn't have him around. ;Negative
My best friend is an amazing person. He is never late and he never lies. He is always there for me when I need him to me. Simply put, I couldn't live without him.;Negative
