Words,Stops,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
15,1,0,0,1,1,0,2,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
32,4,1,2,4,0,0,4,1,0,0,0,1,7,1,1,0,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
164,6,10,1,15,0,0,17,13,0,0,0,5,31,12,0,0,0,0,9,1,10,0,0,1,0,9,0,2,0,0,0,0,4,1,0,0,0
21,1,0,1,3,0,0,2,2,0,0,0,0,4,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
80,4,4,0,5,0,0,7,3,0,0,0,4,9,3,0,0,0,0,11,0,4,0,0,0,0,7,0,2,0,0,0,2,1,0,2,0,0
121,4,5,0,12,0,0,11,5,0,0,0,5,24,5,0,0,0,0,4,4,10,0,1,0,0,7,0,3,0,0,0,0,3,3,1,0,3
60,4,2,0,9,0,0,5,3,1,0,0,1,11,4,0,0,0,0,1,2,5,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0
70,3,1,0,10,0,0,6,5,0,0,0,1,12,3,1,0,0,0,4,1,4,0,0,0,0,3,0,0,0,0,0,2,5,1,1,0,0
49,5,0,0,5,0,0,4,3,0,0,0,1,12,4,0,0,0,0,0,1,3,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,1
160,8,7,2,17,0,0,9,5,0,0,0,6,21,7,1,0,1,0,9,1,10,1,0,0,0,10,0,3,4,0,1,2,3,4,1,1,1
100,6,3,0,11,0,0,9,6,0,0,0,1,17,5,0,0,1,0,6,1,6,0,0,2,0,6,0,1,0,0,0,1,4,0,1,0,0
76,6,4,0,6,1,0,4,4,0,0,0,5,15,3,0,0,0,0,9,0,5,0,0,1,0,5,0,2,0,0,0,1,3,0,0,0,0
13,0,0,0,3,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,6,1,1,10,0,0,9,6,0,0,0,1,18,4,0,0,0,0,4,0,6,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0
69,2,3,1,4,0,0,4,7,0,0,0,2,10,4,4,0,1,0,2,0,6,0,0,0,0,5,0,2,1,0,0,0,2,0,0,0,0
149,6,8,0,17,0,0,17,11,0,1,0,6,31,5,1,0,0,0,4,1,12,1,0,0,0,6,0,4,3,0,1,3,2,1,0,0,0
45,4,1,0,9,1,0,5,3,0,0,0,4,7,1,0,0,1,0,0,1,3,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0
98,6,2,0,17,0,0,10,12,0,0,0,5,25,2,0,0,0,0,2,1,9,1,0,0,0,2,0,2,0,1,0,0,3,0,0,0,0
58,3,4,0,8,0,0,4,6,0,0,0,0,11,3,0,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1
90,5,4,0,15,0,1,9,5,0,0,0,2,18,4,1,0,0,0,4,1,5,0,0,1,0,4,0,1,1,0,0,0,2,0,0,0,0
69,4,1,1,7,0,0,7,7,0,0,0,3,10,2,0,0,1,0,1,2,5,1,0,0,0,7,0,2,0,0,0,1,1,0,1,0,0
109,4,5,0,15,0,0,3,4,0,0,0,2,18,5,2,0,0,0,10,0,7,0,0,1,0,6,0,1,1,0,0,1,3,1,0,0,3
92,5,2,0,10,1,0,5,5,0,0,0,5,18,5,2,0,1,0,3,1,9,0,0,0,0,2,0,4,0,0,0,1,3,1,0,0,0
65,3,2,0,8,0,0,8,4,0,0,0,1,20,1,0,0,0,0,6,0,2,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0
87,5,4,1,12,0,0,8,5,0,0,0,3,18,3,1,0,0,0,2,1,5,0,0,0,0,2,0,3,0,0,1,0,3,1,1,0,2
23,2,0,0,2,0,0,2,3,0,0,0,0,6,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
90,6,2,0,8,1,0,15,3,1,0,0,4,17,5,2,0,0,0,3,1,6,0,0,0,0,4,0,1,0,0,0,0,3,0,1,0,0
8,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,10,4,0,6,0,0,12,6,1,0,0,7,20,17,1,0,0,0,6,2,9,0,0,3,0,5,0,4,2,0,0,2,1,2,2,0,0
87,4,1,3,12,1,0,9,2,0,0,0,7,24,4,0,0,0,0,4,0,5,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,3
113,6,4,0,13,0,0,9,7,1,0,0,3,25,4,3,0,0,0,2,3,5,0,0,1,0,4,0,2,0,1,0,1,3,4,0,0,1
103,5,5,0,7,0,0,6,10,0,0,0,6,15,7,1,0,1,0,6,1,6,1,0,0,0,3,0,2,0,0,0,0,2,1,0,0,0
65,5,1,1,6,1,0,8,3,1,0,0,0,10,0,0,0,0,0,8,0,7,0,0,0,0,4,0,0,0,1,0,0,4,0,3,0,0
57,4,4,1,7,1,0,9,5,0,0,0,1,14,4,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
119,4,2,1,11,0,0,11,2,0,0,0,7,16,9,6,0,0,0,1,1,10,0,0,0,0,6,0,1,0,0,0,0,2,1,1,0,0
137,5,6,0,14,1,0,12,15,0,0,0,5,24,9,0,0,0,0,4,0,12,0,0,1,0,6,0,4,0,0,0,2,5,0,2,0,1
75,5,2,0,6,0,0,8,6,0,0,0,3,14,2,0,0,0,0,4,1,2,0,0,1,0,2,0,1,0,0,1,1,6,1,1,0,2
57,4,3,0,6,0,0,5,3,0,0,0,1,10,6,1,0,0,0,3,0,2,0,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0
81,4,2,0,12,1,0,4,4,0,0,0,2,19,2,2,0,0,0,3,1,5,0,0,2,0,4,0,1,0,0,0,2,1,1,1,0,0
204,10,5,4,19,1,0,25,17,1,2,0,2,28,7,4,0,0,0,16,9,12,0,0,1,0,4,0,1,3,1,0,3,5,1,7,0,0
74,5,3,0,7,1,0,7,4,0,0,0,3,11,5,4,0,0,0,3,0,5,0,0,1,0,0,0,1,0,0,0,2,4,0,0,0,1
91,5,5,0,10,0,0,11,9,0,0,0,1,17,5,1,0,0,0,4,1,4,1,0,0,0,4,0,1,1,1,0,0,2,2,0,0,0
78,9,2,1,9,1,0,6,3,1,0,0,3,16,4,0,0,0,0,5,1,4,0,0,0,0,2,0,1,1,0,0,1,2,0,0,0,3
199,8,5,1,19,0,0,19,8,0,1,0,10,37,7,3,0,0,0,11,6,14,0,0,0,0,8,0,9,0,2,0,1,7,4,1,0,2
108,5,8,0,10,0,0,10,15,0,0,0,0,11,15,0,0,0,0,2,0,3,0,1,1,0,1,0,0,0,0,0,5,4,5,0,0,0
95,6,3,1,10,0,0,11,6,0,0,0,1,18,4,4,0,0,0,2,5,2,0,1,1,0,4,0,0,0,0,1,0,3,0,0,0,2
101,6,2,0,11,0,0,10,5,0,0,0,1,21,1,1,0,0,0,6,1,2,0,0,1,0,7,0,1,0,1,0,2,4,1,1,0,0
81,6,4,0,9,0,0,4,8,0,0,0,6,14,3,2,0,0,0,3,2,5,0,0,0,0,4,0,3,0,0,0,0,2,0,1,0,1
63,3,4,1,7,1,0,3,3,0,0,0,2,9,3,0,0,0,0,4,2,2,0,0,0,0,3,0,0,0,0,0,2,2,1,0,0,1
53,4,0,1,3,0,0,6,1,0,0,0,1,15,0,0,0,0,0,5,2,5,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1
15,1,0,0,2,0,0,1,2,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
87,4,2,0,10,1,0,9,6,0,0,0,1,16,4,3,0,0,0,7,0,6,0,0,0,0,4,0,0,0,0,0,2,0,0,3,0,1
161,11,7,0,23,1,0,20,12,0,0,0,3,36,5,0,0,0,0,2,5,8,0,0,0,0,9,0,1,0,1,0,2,3,1,2,0,2
73,5,3,0,14,0,0,6,4,0,1,0,2,10,5,0,0,0,0,5,1,2,1,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0
84,7,1,0,8,1,0,8,6,1,0,0,3,18,8,0,0,0,0,2,4,9,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0
7,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
