Words,Stops,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NP,NPS,PDT,POS,PP,PP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
135,6,5,0,9,0,0,11,10,0,1,0,3,22,6,0,0,0,0,9,0,9,0,0,0,0,9,0,1,0,0,0,1,3,1,0,0,3
78,4,0,0,9,0,0,9,5,0,0,0,4,14,3,0,0,0,0,3,1,3,0,0,2,0,5,0,1,0,0,0,0,3,2,0,0,0
81,5,2,1,12,1,0,5,7,0,0,0,3,19,2,0,0,0,0,2,0,4,0,0,0,0,5,0,0,0,0,0,1,3,0,2,0,1
92,3,2,2,15,0,0,15,11,0,0,0,2,17,7,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0
78,5,1,0,12,0,0,7,5,0,0,0,3,12,6,0,0,0,0,3,1,2,0,0,0,0,4,0,1,0,0,0,1,4,1,1,0,0
63,4,1,0,4,0,0,7,5,0,0,0,1,14,3,0,0,0,0,5,1,1,0,0,0,0,4,0,0,0,0,0,3,4,1,1,0,0
113,6,3,0,13,0,0,13,6,0,0,0,2,21,1,0,0,0,0,12,5,6,0,0,0,0,6,0,2,0,0,0,0,2,0,3,0,1
113,5,4,0,11,0,0,9,6,0,0,0,3,22,3,5,0,0,0,3,4,8,0,0,0,0,8,0,1,1,0,0,1,3,1,0,0,0
84,4,5,0,6,3,0,8,1,0,0,0,5,14,8,1,0,1,0,4,1,4,0,0,1,0,3,0,1,0,0,0,1,1,0,3,0,2
42,3,1,1,10,0,0,3,2,0,0,0,1,10,3,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
68,4,3,0,3,0,0,6,10,0,0,0,0,13,6,0,0,0,0,2,2,3,0,0,0,0,4,0,1,0,0,0,4,2,1,1,0,0
36,4,0,1,7,0,0,2,1,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0
86,5,3,0,11,0,0,5,6,0,0,0,3,20,3,0,0,0,0,3,4,6,0,0,1,0,4,0,0,0,0,0,0,3,0,2,0,0
80,4,2,0,5,0,0,13,7,0,0,0,5,19,6,0,0,0,0,1,1,6,0,0,0,0,1,0,3,0,0,0,1,3,0,1,0,1
57,3,1,0,7,0,0,7,1,0,1,0,1,12,2,0,0,0,0,6,1,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
51,4,2,0,8,0,0,3,0,0,0,0,2,14,2,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0
27,4,0,0,5,0,0,1,1,0,0,0,1,5,2,0,0,0,0,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0
130,6,9,0,11,2,0,13,8,0,1,0,7,21,7,1,0,0,0,6,1,7,1,0,1,0,4,0,5,0,0,0,1,2,0,0,0,0
78,4,6,0,9,0,0,6,3,0,0,0,7,11,7,0,0,0,0,4,3,1,0,0,0,0,5,0,2,0,0,0,0,1,0,2,0,0
60,4,0,0,4,0,0,8,4,1,0,0,2,7,5,0,0,0,0,8,1,3,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0
78,6,3,0,7,0,0,11,7,0,0,0,7,13,6,0,0,0,0,5,2,0,0,0,0,0,2,0,5,0,0,0,1,1,1,0,0,0
49,4,1,0,9,0,0,6,2,0,0,0,0,17,2,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0
110,4,5,0,11,1,0,7,8,0,0,0,5,20,3,0,0,0,0,4,2,11,1,0,0,0,5,0,3,1,0,0,1,4,0,1,0,2
43,4,1,0,4,0,0,4,3,0,0,0,3,7,2,0,0,0,0,2,0,5,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0
117,5,3,1,11,0,0,9,8,1,0,0,7,21,3,0,0,0,0,7,3,7,0,0,0,0,5,0,5,1,0,0,1,1,2,0,0,1
75,3,1,1,8,0,0,7,6,0,0,0,1,13,2,1,0,0,0,5,3,5,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,2
72,6,1,1,7,0,0,3,7,0,0,0,2,12,2,0,0,1,0,7,1,9,0,0,0,0,4,0,3,0,0,0,1,5,0,0,0,1
111,3,4,3,11,0,0,18,12,0,0,0,0,25,6,0,0,0,0,2,2,8,0,0,1,0,3,0,0,0,0,0,1,2,1,0,0,1
56,4,1,0,9,0,0,7,1,0,0,0,1,15,0,0,0,0,0,5,0,4,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0
42,4,1,0,6,1,0,2,1,0,0,0,0,9,2,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1
70,5,3,0,9,1,0,5,9,0,0,0,2,13,6,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,4,3,1,1,0,0
10,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,6,2,0,10,0,0,7,4,0,1,0,2,18,5,0,0,0,0,3,1,3,0,0,0,0,3,0,2,0,0,0,1,4,0,1,0,0
50,3,2,1,10,0,0,4,2,0,0,0,0,9,4,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1
51,4,2,1,5,0,0,3,7,0,0,0,1,12,3,0,0,0,0,0,2,1,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0
61,4,3,0,7,0,0,5,6,1,0,0,1,10,2,0,0,0,0,3,0,1,0,0,0,0,5,0,2,0,1,0,1,2,1,0,0,0
106,5,1,1,11,1,0,15,3,0,2,0,1,21,7,0,0,0,0,4,6,5,0,0,2,0,4,0,0,0,0,1,0,4,0,2,0,1
57,4,1,0,4,2,0,7,4,0,0,0,1,8,5,0,0,0,0,5,1,3,0,0,0,0,3,0,1,0,0,0,2,1,1,0,0,0
82,7,2,1,12,0,0,9,1,0,0,0,3,18,1,4,0,0,0,6,3,3,0,0,0,0,4,0,1,0,0,0,0,3,0,2,0,0
46,3,1,0,3,2,0,5,5,0,0,0,1,11,2,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0
37,2,2,0,5,0,0,1,2,0,0,0,1,7,1,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0
59,4,1,0,5,0,0,9,6,0,0,0,4,8,7,0,0,0,0,1,0,2,0,0,0,0,2,0,3,0,1,0,0,0,0,1,0,0
53,5,1,0,6,0,0,4,4,0,0,0,3,12,4,0,0,0,0,1,1,4,0,0,1,0,1,0,1,0,0,0,0,2,0,3,0,0
66,4,2,0,4,0,0,9,5,1,0,0,2,7,7,3,0,0,0,1,1,1,2,0,0,0,4,0,1,1,2,0,0,1,0,0,0,0
45,3,2,0,5,0,0,5,2,0,0,0,1,13,0,0,0,0,0,2,1,3,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0
78,5,4,0,5,0,0,8,4,0,0,0,3,19,4,1,0,0,0,9,1,1,0,0,0,0,2,0,2,0,0,0,0,3,1,1,0,1
98,6,2,0,12,0,0,10,8,0,1,0,4,22,1,0,0,0,0,5,3,7,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,3
96,5,4,0,9,0,0,10,6,0,1,0,2,22,6,0,0,0,0,4,2,4,0,0,0,0,3,0,2,0,0,1,0,5,1,2,0,0
58,4,2,0,9,0,0,5,1,1,0,0,1,13,0,0,0,0,0,2,1,3,0,0,1,0,0,0,1,0,1,0,0,4,0,3,0,0
48,3,3,0,10,0,0,3,2,0,0,0,1,12,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
104,5,3,0,8,1,0,9,6,0,0,0,4,17,9,0,0,0,0,4,5,6,2,0,0,0,0,0,2,0,0,0,1,2,1,1,0,3
37,3,1,1,7,0,0,2,4,0,0,0,2,5,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0
63,5,0,0,6,0,0,4,5,1,0,0,3,12,3,0,0,0,0,5,1,4,0,0,1,0,2,0,1,0,0,0,2,2,1,0,0,1
43,2,3,0,3,1,0,2,1,0,0,0,2,8,1,0,0,0,0,3,0,5,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,1
58,4,1,0,6,0,0,7,6,0,0,0,1,9,3,1,0,0,0,3,0,5,0,0,0,0,2,0,1,0,1,0,1,2,0,0,0,0
108,5,3,1,12,0,0,12,6,0,0,0,0,21,8,0,0,0,0,3,8,7,0,0,0,0,5,0,1,0,0,0,0,5,0,0,0,0
74,5,1,1,11,0,0,5,6,0,0,0,0,16,1,0,0,0,0,3,2,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0
92,4,4,0,10,1,0,9,7,0,0,0,2,17,5,1,0,1,0,0,1,4,0,0,1,0,6,0,3,0,0,0,0,3,1,0,0,1
64,4,2,0,7,0,0,8,5,0,0,0,3,18,2,0,0,0,0,3,1,3,0,0,0,0,2,0,3,1,0,0,0,1,0,0,0,0
9,1,0,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,5,4,1,17,0,0,10,8,0,0,0,3,27,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0
80,5,2,0,8,0,0,7,5,0,0,0,6,19,1,0,0,0,0,1,0,6,0,0,0,0,5,0,4,0,2,0,0,0,1,0,0,0
73,4,4,1,8,1,2,5,5,1,0,0,5,9,4,0,0,0,0,5,0,5,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,1
55,4,4,0,2,0,0,7,6,0,0,0,5,12,3,0,0,0,0,2,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,1,0,0
130,7,6,0,20,1,0,9,7,0,0,0,8,29,2,0,0,0,0,3,1,8,0,0,0,0,5,0,5,0,0,0,2,5,0,2,0,0
72,4,1,1,7,1,0,10,2,1,0,0,0,13,4,0,0,0,0,3,3,4,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0
80,5,2,0,4,1,0,8,6,0,0,0,2,13,14,0,0,0,0,1,4,3,0,0,0,0,2,0,1,1,0,0,2,1,0,3,0,1
46,4,0,1,8,0,0,4,3,0,0,0,1,10,2,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
89,7,6,0,12,0,0,11,3,0,0,0,4,23,7,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,1
91,6,2,0,17,0,0,8,10,0,0,0,1,21,3,0,0,2,0,6,3,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1
44,5,2,0,2,0,0,4,2,0,0,0,3,11,1,0,0,0,0,2,1,5,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
94,5,5,0,10,2,0,12,10,0,0,0,1,16,3,0,0,0,0,6,0,3,0,0,0,0,4,0,1,0,0,0,3,7,0,0,0,1
